City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
270,Lagoa,PT,2020-10-15 18:22:53,39.05,-27.98,69.55,84,100,8.59
271,Chegdomyn,RU,2020-10-15 18:22:53,51.12,133.02,24.44,88,37,5.44
272,Hofn,IS,2020-10-15 18:22:53,64.25,-15.21,48.2,66,0,6.89
273,Champerico,GT,2020-10-15 18:22:54,14.3,-91.92,89.6,62,40,9.17
274,Touros,BR,2020-10-15 18:18:47,-5.2,-35.46,86.0,58,40,14.99
275,Walvis Bay,NA,2020-10-15 18:18:47,-22.96,14.51,59.0,87,75,4.7
276,Nadvoitsy,RU,2020-10-15 18:22:54,63.87,34.32,33.98,91,78,9.1
277,Vostok,RU,2020-10-15 18:22:54,46.49,135.88,25.0,95,0,6.06
278,Kamenskiy,RU,2020-10-15 18:22:54,50.89,45.49,56.41,79,26,8.41
279,Dubrovka,RU,2020-10-15 18:22:54,53.69,33.51,48.4,81,65,6.67
280,Leo,BF,2020-10-15 18:22:54,11.1,-2.1,83.8,61,62,3.85
281,Udachnyy,RU,2020-10-15 18:22:55,66.42,112.4,23.0,100,90,8.95
282,Reading,GB,2020-10-15 18:22:55,51.46,-0.97,48.99,87,73,5.82
283,Srednekolymsk,RU,2020-10-15 18:19:02,67.45,153.68,29.73,99,100,8.75
284,Komsomolskiy,UZ,2020-10-15 18:22:55,40.43,71.72,55.4,58,0,6.93
285,Monrovia,LR,2020-10-15 18:18:39,6.3,-10.8,82.4,83,75,9.17
286,Zaysan,KZ,2020-10-15 18:22:55,47.47,84.87,43.02,55,19,2.42
287,Salalah,OM,2020-10-15 18:22:56,17.02,54.09,78.8,94,20,2.24
288,Luganville,VU,2020-10-15 18:22:56,-15.53,167.17,74.57,79,99,7.63
289,Gao,ML,2020-10-15 18:18:56,16.64,1.64,97.45,14,4,6.49
290,Fortuna,US,2020-10-15 18:22:56,40.6,-124.16,64.0,77,1,5.82
291,Abha,SA,2020-10-15 18:22:56,18.22,42.51,68.0,10,0,5.82
292,Kayerkan,RU,2020-10-15 18:22:56,69.35,87.76,24.8,92,75,13.42
293,Oriximina,BR,2020-10-15 18:22:56,-1.77,-55.87,95.14,38,19,9.17
294,Port Augusta,AU,2020-10-15 18:22:56,-32.5,137.77,75.99,82,90,8.05
295,Buraydah,SA,2020-10-15 18:21:12,26.33,43.98,82.4,24,0,4.7
296,Port Lincoln,AU,2020-10-15 18:19:54,-34.73,135.87,57.07,87,100,18.14
297,Vestmannaeyjar,IS,2020-10-15 18:22:57,63.44,-20.27,48.2,87,75,18.34
298,Svetlyy,RU,2020-10-15 18:22:57,54.67,20.13,48.2,93,75,11.18
299,Sao Luiz Gonzaga,BR,2020-10-15 18:22:57,-28.41,-54.96,81.73,38,78,10.92
300,Campbellsville,US,2020-10-15 18:22:57,37.34,-85.34,70.0,56,90,8.01
301,Prince Rupert,CA,2020-10-15 18:18:50,54.32,-130.32,44.6,87,90,5.82
302,Haines Junction,CA,2020-10-15 18:22:58,60.75,-137.51,35.31,82,95,3.0
